event_id,occurrence_time,event_time,timestamp,event_type,sourcetype,src_ip,dest_ip,severity,campaign_id,description
ATK-0001,2025-12-11T06:48:18.263690,2025-12-11 06:48:18,2025-12-11 06:48:18,brute_force,message_rfc822,185.249.51.96,192.168.1.80,medium,CAMP-001,Multiple failed login attempts
ATK-0002,2025-12-11T06:56:18.263690,2025-12-11 06:56:18,2025-12-11 06:56:18,port_scan,pfsense:syslog,133.148.116.71,192.168.1.73,critical,CAMP-010,Malware download from suspicious domain
ATK-0003,2025-12-11T06:59:18.263690,2025-12-11 06:59:18,2025-12-11 06:59:18,malware_download,pfsense:syslog,171.109.17.166,192.168.1.10,critical,CAMP-002,Malware download from suspicious domain
ATK-0004,2025-12-11T07:03:18.263690,2025-12-11 07:03:18,2025-12-11 07:03:18,sql_injection,pfsense:syslog,115.102.220.28,192.168.1.46,critical,CAMP-007,Malware download from suspicious domain
ATK-0005,2025-12-11T07:08:18.263690,2025-12-11 07:08:18,2025-12-11 07:08:18,malware_download,pfsense:syslog,178.221.133.6,192.168.1.96,medium,CAMP-009,Port scanning activity detected
ATK-0006,2025-12-11T07:16:18.263690,2025-12-11 07:16:18,2025-12-11 07:16:18,port_scan,snort:alert,192.90.47.58,192.168.1.73,medium,CAMP-008,Multiple failed login attempts
ATK-0007,2025-12-11T07:19:18.263690,2025-12-11 07:19:18,2025-12-11 07:19:18,malware_download,wineventlog:security,184.111.126.110,192.168.1.92,high,CAMP-009,Multiple failed login attempts
ATK-0008,2025-12-11T07:26:18.263690,2025-12-11 07:26:18,2025-12-11 07:26:18,phishing_email,wineventlog:security,157.22.76.153,192.168.1.54,medium,CAMP-008,Malware download from suspicious domain
ATK-0009,2025-12-11T07:28:18.263690,2025-12-11 07:28:18,2025-12-11 07:28:18,port_scan,wineventlog:security,180.235.84.245,192.168.1.18,high,CAMP-005,Multiple failed login attempts
ATK-0010,2025-12-11T07:36:18.263690,2025-12-11 07:36:18,2025-12-11 07:36:18,phishing_email,pfsense:syslog,164.127.82.197,192.168.1.45,critical,CAMP-007,Multiple failed login attempts
ATK-0011,2025-12-11T07:38:18.263690,2025-12-11 07:38:18,2025-12-11 07:38:18,brute_force,wineventlog:security,124.215.247.236,192.168.1.32,medium,CAMP-004,Port scanning activity detected
ATK-0012,2025-12-11T07:43:18.263690,2025-12-11 07:43:18,2025-12-11 07:43:18,malware_download,pfsense:syslog,156.7.46.222,192.168.1.26,high,CAMP-001,Phishing email with malicious attachment
ATK-0013,2025-12-11T07:49:18.263690,2025-12-11 07:49:18,2025-12-11 07:49:18,malware_download,snort:alert,153.165.67.79,192.168.1.69,medium,CAMP-005,Phishing email with malicious attachment
ATK-0014,2025-12-11T07:56:18.263690,2025-12-11 07:56:18,2025-12-11 07:56:18,sql_injection,wineventlog:security,166.145.115.225,192.168.1.35,high,CAMP-003,Phishing email with malicious attachment
ATK-0015,2025-12-11T07:58:18.263690,2025-12-11 07:58:18,2025-12-11 07:58:18,brute_force,snort:alert,123.17.81.24,192.168.1.76,high,CAMP-009,Port scanning activity detected
ATK-0016,2025-12-11T08:04:18.263690,2025-12-11 08:04:18,2025-12-11 08:04:18,sql_injection,wineventlog:security,126.20.142.244,192.168.1.71,medium,CAMP-003,Phishing email with malicious attachment
ATK-0017,2025-12-11T08:08:18.263690,2025-12-11 08:08:18,2025-12-11 08:08:18,port_scan,pfsense:syslog,125.210.176.19,192.168.1.31,high,CAMP-002,Port scanning activity detected
ATK-0018,2025-12-11T08:15:18.263690,2025-12-11 08:15:18,2025-12-11 08:15:18,brute_force,wineventlog:security,128.222.155.60,192.168.1.77,critical,CAMP-010,Phishing email with malicious attachment
ATK-0019,2025-12-11T08:18:18.263690,2025-12-11 08:18:18,2025-12-11 08:18:18,sql_injection,message_rfc822,114.80.90.92,192.168.1.55,critical,CAMP-003,Phishing email with malicious attachment
ATK-0020,2025-12-11T08:24:18.263690,2025-12-11 08:24:18,2025-12-11 08:24:18,phishing_email,snort:alert,108.143.76.183,192.168.1.54,medium,CAMP-010,Multiple failed login attempts
ATK-0021,2025-12-11T08:28:18.263690,2025-12-11 08:28:18,2025-12-11 08:28:18,port_scan,wineventlog:security,162.222.149.4,192.168.1.19,critical,CAMP-009,Malware download from suspicious domain
ATK-0022,2025-12-11T08:35:18.263690,2025-12-11 08:35:18,2025-12-11 08:35:18,port_scan,pfsense:syslog,171.211.87.171,192.168.1.19,critical,CAMP-010,Malware download from suspicious domain
ATK-0023,2025-12-11T08:41:18.263690,2025-12-11 08:41:18,2025-12-11 08:41:18,brute_force,wineventlog:security,195.209.235.129,192.168.1.100,high,CAMP-007,Phishing email with malicious attachment
ATK-0024,2025-12-11T08:46:18.263690,2025-12-11 08:46:18,2025-12-11 08:46:18,sql_injection,pfsense:syslog,183.13.158.171,192.168.1.52,medium,CAMP-001,Phishing email with malicious attachment
ATK-0025,2025-12-11T08:48:18.263690,2025-12-11 08:48:18,2025-12-11 08:48:18,phishing_email,message_rfc822,114.114.192.191,192.168.1.18,critical,CAMP-008,SQL injection attempt on web server
