event_id,detection_time,detected_at,timestamp,threat_detected,ai_verdict,confidence,detection_method,mttd_actual_seconds,total_delay_seconds
ATK-0001,2025-12-11T06:50:06.229370,2025-12-11 06:50:06,2025-12-11 06:50:06,True,malicious,0.9230396917597669,IDS_signature,58.56054818964013,107.96568047262957
ATK-0002,2025-12-11T07:01:24.198169,2025-12-11 07:01:24,2025-12-11 07:01:24,True,malicious,0.9229630734926216,ML_model,274.5924102240142,305.93447918429683
ATK-0003,2025-12-11T07:01:38.066074,2025-12-11 07:01:38,2025-12-11 07:01:38,True,malicious,0.8964709057603766,IDS_signature,96.38565782787049,139.80238409605576
ATK-0005,2025-12-11T07:10:03.366625,2025-12-11 07:10:03,2025-12-11 07:10:03,True,malicious,0.7738570214098573,anomaly_detection,70.74502519615982,105.10293506052312
ATK-0006,2025-12-11T07:17:21.755043,2025-12-11 07:17:21,2025-12-11 07:17:21,True,malicious,0.8875424356720296,anomaly_detection,20.258178769221807,63.49135254643463
ATK-0007,2025-12-11T07:23:43.813564,2025-12-11 07:23:43,2025-12-11 07:23:43,True,malicious,0.8791807767568297,IDS_signature,215.59704702788144,265.5498739809962
ATK-0008,2025-12-11T07:32:36.878907,2025-12-11 07:32:36,2025-12-11 07:32:36,True,malicious,0.8772724468736872,SIEM_rule,348.0033726488,378.61521686821516
ATK-0009,2025-12-11T07:30:35.640283,2025-12-11 07:30:35,2025-12-11 07:30:35,True,malicious,0.9199902960846726,SIEM_rule,102.89210186393726,137.3765933401486
ATK-0010,2025-12-11T07:43:08.311695,2025-12-11 07:43:08,2025-12-11 07:43:08,True,malicious,0.8452817846917052,IDS_signature,388.84230263795024,410.04800475383
ATK-0012,2025-12-11T07:47:48.570664,2025-12-11 07:47:48,2025-12-11 07:47:48,True,malicious,0.8738245004443623,ML_model,246.09067442859154,270.30697369356153
ATK-0013,2025-12-11T07:50:11.644346,2025-12-11 07:50:11,2025-12-11 07:50:11,True,malicious,0.9399182057838192,IDS_signature,18.281149483732264,53.38065595740937
ATK-0014,2025-12-11T07:59:26.016356,2025-12-11 07:59:26,2025-12-11 07:59:26,True,malicious,0.7693592736746991,IDS_signature,131.10304842849968,187.7526656024767
ATK-0015,2025-12-11T07:59:31.798383,2025-12-11 07:59:31,2025-12-11 07:59:31,True,malicious,0.9106929996973169,anomaly_detection,22.287445744826226,73.53469279411622
ATK-0016,2025-12-11T08:07:57.038114,2025-12-11 08:07:57,2025-12-11 08:07:57,True,malicious,0.7737418763182027,ML_model,166.4197575756012,218.7744236086067
ATK-0017,2025-12-11T08:13:58.039403,2025-12-11 08:13:58,2025-12-11 08:13:58,True,malicious,0.8180234695923753,SIEM_rule,281.3760325552026,339.7757131193699
ATK-0018,2025-12-11T08:16:49.380059,2025-12-11 08:16:49,2025-12-11 08:16:49,True,malicious,0.8635790739625957,ML_model,69.26638195605051,91.11636939704431
ATK-0020,2025-12-11T08:25:08.654976,2025-12-11 08:25:08,2025-12-11 08:25:08,True,malicious,0.9733955966734051,anomaly_detection,27.029172828559886,50.3912857160598
ATK-0022,2025-12-11T08:40:08.139747,2025-12-11 08:40:08,2025-12-11 08:40:08,True,malicious,0.7729172242541824,ML_model,268.83054936676973,289.87605727606405
ATK-0023,2025-12-11T08:43:09.186312,2025-12-11 08:43:09,2025-12-11 08:43:09,True,malicious,0.7877006155851731,anomaly_detection,87.20210698451928,110.92262246415368
ATK-0024,2025-12-11T08:49:43.469783,2025-12-11 08:49:43,2025-12-11 08:49:43,True,malicious,0.9522563286052645,ML_model,150.02094675168217,205.20609263520493
ATK-0025,2025-12-11T08:58:28.066280,2025-12-11 08:58:28,2025-12-11 08:58:28,True,malicious,0.9766390829843155,anomaly_detection,577.2374960258263,609.8025901408841
ATK-0026,2025-12-11T08:55:28.121271,2025-12-11 08:55:28,2025-12-11 08:55:28,True,malicious,0.7778059606825939,IDS_signature,13.061965041068872,69.85758143386816
ATK-0027,2025-12-11T09:08:14.715236,2025-12-11 09:08:14,2025-12-11 09:08:14,True,malicious,0.9222640137523568,ML_model,483.34782830152557,536.4515457982044
ATK-0028,2025-12-11T09:07:35.765934,2025-12-11 09:07:35,2025-12-11 09:07:35,True,malicious,0.7616503930974658,IDS_signature,112.86672466123089,137.50224379957606
ATK-0029,2025-12-11T09:11:25.227926,2025-12-11 09:11:25,2025-12-11 09:11:25,True,malicious,0.8907346848002211,SIEM_rule,9.789949808218616,66.9642355268906
ATK-0030,2025-12-11T09:16:45.845580,2025-12-11 09:16:45,2025-12-11 09:16:45,True,malicious,0.7954208493376507,SIEM_rule,173.1860349924376,207.58188953522586
ATK-0032,2025-12-11T09:31:48.991719,2025-12-11 09:31:48,2025-12-11 09:31:48,True,malicious,0.8022327858857048,IDS_signature,275.21754454573374,330.7280285737101
ATK-0033,2025-12-11T09:34:48.650407,2025-12-11 09:34:48,2025-12-11 09:34:48,True,malicious,0.948518228070827,SIEM_rule,236.36406881078904,270.3867171846583
ATK-0034,2025-12-11T09:35:29.414974,2025-12-11 09:35:29,2025-12-11 09:35:29,True,malicious,0.7624130363033566,SIEM_rule,20.888138438738125,71.15128397453103
ATK-0035,2025-12-11T09:41:54.909549,2025-12-11 09:41:54,2025-12-11 09:41:54,True,malicious,0.8558167777935337,IDS_signature,9.973182898074292,36.64585882160878
ATK-0036,2025-12-11T09:48:28.242507,2025-12-11 09:48:28,2025-12-11 09:48:28,True,malicious,0.9627475078063608,ML_model,149.45566778066558,189.97881671370652
ATK-0037,2025-12-11T09:52:40.205230,2025-12-11 09:52:40,2025-12-11 09:52:40,True,malicious,0.9219367975392031,ML_model,23.87959352633775,81.94154038931089
ATK-0038,2025-12-11T09:57:43.670521,2025-12-11 09:57:43,2025-12-11 09:57:43,True,malicious,0.9631577106871801,SIEM_rule,64.09649699532969,85.40683133544402
ATK-0039,2025-12-11T10:04:28.591223,2025-12-11 10:04:28,2025-12-11 10:04:28,True,malicious,0.8558663572848031,anomaly_detection,284.2102977820816,310.3275330993324
ATK-0040,2025-12-11T10:05:31.939914,2025-12-11 10:05:31,2025-12-11 10:05:31,True,malicious,0.9532442378756623,IDS_signature,25.013710376087534,73.67622440977152
ATK-0041,2025-12-11T10:10:10.622696,2025-12-11 10:10:10,2025-12-11 10:10:10,True,malicious,0.7873651623256185,ML_model,10.551176765606888,52.359005567856194
ATK-0042,2025-12-11T10:16:09.989481,2025-12-11 10:16:09,2025-12-11 10:16:09,True,malicious,0.9152812487278704,anomaly_detection,17.820414962102546,51.72579123205038
ATK-0043,2025-12-11T10:23:28.060391,2025-12-11 10:23:28,2025-12-11 10:23:28,True,malicious,0.9284720809932916,anomaly_detection,158.7951471746814,189.7967012005295
ATK-0044,2025-12-11T10:26:21.988179,2025-12-11 10:26:21,2025-12-11 10:26:21,True,malicious,0.7757173727197569,SIEM_rule,17.13562127247313,63.72448907067536
ATK-0045,2025-12-11T10:30:18.353844,2025-12-11 10:30:18,2025-12-11 10:30:18,True,malicious,0.9254449595577281,anomaly_detection,8.31153349995055,60.09015369013411
ATK-0046,2025-12-11T10:45:52.343495,2025-12-11 10:45:52,2025-12-11 10:45:52,True,malicious,0.7934028264499242,SIEM_rule,594.9039784746319,634.0798053901765
ATK-0047,2025-12-11T10:43:42.467775,2025-12-11 10:43:42,2025-12-11 10:43:42,True,malicious,0.7723881328734197,anomaly_detection,238.81343718128153,264.2040854313156
ATK-0048,2025-12-11T10:47:14.906066,2025-12-11 10:47:14,2025-12-11 10:47:14,True,malicious,0.757957277121279,SIEM_rule,211.83437513730854,236.64237560469513
ATK-0049,2025-12-11T10:53:04.297993,2025-12-11 10:53:04,2025-12-11 10:53:04,True,malicious,0.9453233041600664,anomaly_detection,79.76505934907726,106.03430253705282
ATK-0050,2025-12-11T10:57:10.654330,2025-12-11 10:57:10,2025-12-11 10:57:10,True,malicious,0.9899125680178882,anomaly_detection,124.45911727594542,172.39064004657845
ATK-0051,2025-12-11T11:03:48.403076,2025-12-11 11:03:48,2025-12-11 11:03:48,True,malicious,0.9046265891815983,ML_model,126.2324993110827,150.13938606959945
ATK-0052,2025-12-11T11:04:37.885845,2025-12-11 11:04:37,2025-12-11 11:04:37,True,malicious,0.8035811660395831,SIEM_rule,36.4727003894125,79.62215471837779
ATK-0053,2025-12-11T11:12:02.729477,2025-12-11 11:12:02,2025-12-11 11:12:02,True,malicious,0.8699742031959486,IDS_signature,14.574573578675608,44.465787118210216
ATK-0054,2025-12-11T11:17:02.552989,2025-12-11 11:17:02,2025-12-11 11:17:02,True,malicious,0.8848363457507162,SIEM_rule,120.39521687680005,164.28929880196853
