event_id,detection_id,response_time,responded_at,timestamp,response_type,type,action,response_action,mttr_seconds,analyst,status,notes
ATK-0001,ATK-0001,2025-12-11T06:50:15.425845,2025-12-11 06:50:15,2025-12-11 06:50:15,automated,automated,kill_process,kill_process,9.196474983976374,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0002,ATK-0002,2025-12-11T07:01:42.183930,2025-12-11 07:01:42,2025-12-11 07:01:42,automated,automated,quarantine_email,quarantine_email,17.985761360846123,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0003,ATK-0003,2025-12-11T07:01:42.101867,2025-12-11 07:01:42,2025-12-11 07:01:42,automated,automated,quarantine_email,quarantine_email,4.0357927542685585,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0005,ATK-0005,2025-12-11T07:22:44.175849,2025-12-11 07:22:44,2025-12-11 07:22:44,manual,manual,block_ip_firewall,block_ip_firewall,760.8092240723685,analyst_john,completed,Manual response: block ip firewall
ATK-0007,ATK-0007,2025-12-11T07:23:53.497681,2025-12-11 07:23:53,2025-12-11 07:23:53,automated,automated,block_domain,block_domain,9.684116508349915,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0008,ATK-0008,2025-12-11T07:38:35.420108,2025-12-11 07:38:35,2025-12-11 07:38:35,manual,manual,escalate_to_soc,escalate_to_soc,358.5412014157308,analyst_john,completed,Manual response: escalate to soc
ATK-0009,ATK-0009,2025-12-11T07:30:43.974459,2025-12-11 07:30:43,2025-12-11 07:30:43,automated,automated,kill_process,kill_process,8.334175958194448,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0010,ATK-0010,2025-12-11T07:43:20.413453,2025-12-11 07:43:20,2025-12-11 07:43:20,automated,automated,kill_process,kill_process,12.101757698557407,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0012,ATK-0012,2025-12-11T07:53:55.305140,2025-12-11 07:53:55,2025-12-11 07:53:55,manual,manual,request_more_info,request_more_info,366.7344758076755,analyst_john,completed,Manual response: request more info
ATK-0015,ATK-0015,2025-12-11T07:59:55.862662,2025-12-11 07:59:55,2025-12-11 07:59:55,automated,automated,block_ip_firewall,block_ip_firewall,24.06427856157427,AUTO-SYSTEM,completed,Automated response: block ip firewall
ATK-0017,ATK-0017,2025-12-11T08:25:46.415610,2025-12-11 08:25:46,2025-12-11 08:25:46,manual,manual,notify_admin,notify_admin,708.3762068387366,soc_lead,completed,Manual response: notify admin
ATK-0018,ATK-0018,2025-12-11T08:28:35.348757,2025-12-11 08:28:35,2025-12-11 08:28:35,manual,manual,block_ip_firewall,block_ip_firewall,705.9686980690537,analyst_john,completed,Manual response: block ip firewall
ATK-0020,ATK-0020,2025-12-11T08:25:38.455524,2025-12-11 08:25:38,2025-12-11 08:25:38,automated,automated,block_domain,block_domain,29.800548421810287,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0022,ATK-0022,2025-12-11T08:55:00.336049,2025-12-11 08:55:00,2025-12-11 08:55:00,manual,manual,request_more_info,request_more_info,892.1963019157896,analyst_mike,completed,Manual response: request more info
ATK-0023,ATK-0023,2025-12-11T08:51:34.855877,2025-12-11 08:51:34,2025-12-11 08:51:34,manual,manual,create_ticket,create_ticket,505.66956451964825,soc_lead,completed,Manual response: create ticket
ATK-0024,ATK-0024,2025-12-11T08:49:44.604100,2025-12-11 08:49:44,2025-12-11 08:49:44,automated,automated,block_ip_firewall,block_ip_firewall,1.1343172217495847,AUTO-SYSTEM,completed,Automated response: block ip firewall
ATK-0025,ATK-0025,2025-12-11T08:58:46.080221,2025-12-11 08:58:46,2025-12-11 08:58:46,automated,automated,kill_process,kill_process,18.013940532928817,AUTO-SYSTEM,completed,Automated response: kill process
ATK-0026,ATK-0026,2025-12-11T08:55:38.288394,2025-12-11 08:55:38,2025-12-11 08:55:38,automated,automated,isolate_host,isolate_host,10.167122898844427,AUTO-SYSTEM,completed,Automated response: isolate host
ATK-0027,ATK-0027,2025-12-11T09:08:25.162356,2025-12-11 09:08:25,2025-12-11 09:08:25,automated,automated,quarantine_email,quarantine_email,10.447120332038832,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0028,ATK-0028,2025-12-11T09:07:42.068353,2025-12-11 09:07:42,2025-12-11 09:07:42,automated,automated,block_domain,block_domain,6.302418625506247,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0029,ATK-0029,2025-12-11T09:18:26.254543,2025-12-11 09:18:26,2025-12-11 09:18:26,manual,manual,create_ticket,create_ticket,421.0266167160863,analyst_john,completed,Manual response: create ticket
ATK-0030,ATK-0030,2025-12-11T09:28:15.408610,2025-12-11 09:28:15,2025-12-11 09:28:15,manual,manual,block_ip_firewall,block_ip_firewall,689.5630295681411,soc_lead,completed,Manual response: block ip firewall
ATK-0033,ATK-0033,2025-12-11T09:34:50.999967,2025-12-11 09:34:50,2025-12-11 09:34:50,automated,automated,block_domain,block_domain,2.349560131600899,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0036,ATK-0036,2025-12-11T09:48:49.065718,2025-12-11 09:48:49,2025-12-11 09:48:49,automated,automated,quarantine_email,quarantine_email,20.823210641582516,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0037,ATK-0037,2025-12-11T09:52:51.145353,2025-12-11 09:52:51,2025-12-11 09:52:51,automated,automated,block_domain,block_domain,10.940123061557905,AUTO-SYSTEM,completed,Automated response: block domain
ATK-0038,ATK-0038,2025-12-11T09:58:02.580175,2025-12-11 09:58:02,2025-12-11 09:58:02,automated,automated,quarantine_email,quarantine_email,18.909654026450205,AUTO-SYSTEM,completed,Automated response: quarantine email
ATK-0039,ATK-0039,2025-12-11T10:17:05.149935,2025-12-11 10:17:05,2025-12-11 10:17:05,manual,manual,analyst_review,analyst_review,756.5587122202255,analyst_mike,completed,Manual response: analyst review
