event_id,timestamp,_time,sourcetype,action,severity,src_ip,dest_ip,dest_port,message,threat_score,category
EVT-BENIGN-0043,2025-12-06T13:37:39.391870,2025-12-06 13:37:39,syslog,pass,low,192.168.1.125,8.8.223.102,22,SSH connection from admin workstation,24,normal
EVT-BENIGN-0085,2025-12-08T07:37:39.391870,2025-12-08 07:37:39,syslog,permit,low,192.168.1.211,8.8.217.36,53,SSH connection from admin workstation,16,normal
EVT-BENIGN-0069,2025-12-07T15:37:39.391870,2025-12-07 15:37:39,wineventlog:system,permit,info,192.168.1.214,8.8.180.184,80,SSH connection from admin workstation,18,normal
EVT-MALICIOUS-0027,2025-12-07T00:37:39.391870,2025-12-07 00:37:39,snort:alert,drop,high,145.236.174.210,192.168.1.66,1433,SQL injection attempt detected,73,threat
EVT-BENIGN-0063,2025-12-07T09:37:39.391870,2025-12-07 09:37:39,wineventlog:system,permit,notice,192.168.1.50,8.8.126.161,80,Regular system update check,25,normal
EVT-BENIGN-0040,2025-12-06T10:37:39.391870,2025-12-06 10:37:39,pfsense:syslog,allow,low,192.168.1.76,8.8.28.32,22,Normal HTTP traffic to google.com,18,normal
EVT-BENIGN-0051,2025-12-06T21:37:39.391870,2025-12-06 21:37:39,pfsense:syslog,permit,low,192.168.1.24,8.8.160.255,22,Regular system update check,21,normal
EVT-BENIGN-0071,2025-12-07T17:37:39.391870,2025-12-07 17:37:39,pfsense:syslog,accept,info,192.168.1.198,8.8.125.42,443,SSH connection from admin workstation,30,normal
EVT-BENIGN-0068,2025-12-07T14:37:39.391870,2025-12-07 14:37:39,syslog,allow,low,192.168.1.251,8.8.78.201,53,DNS query for legitimate domain,29,normal
EVT-MALICIOUS-0020,2025-12-06T10:37:39.391870,2025-12-06 10:37:39,snort:alert,reject,high,117.108.169.89,192.168.1.242,8080,Malware signature matched: Trojan.Generic,98,threat
EVT-BENIGN-0081,2025-12-08T03:37:39.391870,2025-12-08 03:37:39,wineventlog:system,pass,low,192.168.1.18,8.8.238.31,80,Regular system update check,24,normal
EVT-BENIGN-0005,2025-12-04T23:37:39.391870,2025-12-04 23:37:39,wineventlog:system,allow,low,192.168.1.26,8.8.42.115,22,DNS query for legitimate domain,16,normal
EVT-BENIGN-0013,2025-12-05T07:37:39.391870,2025-12-05 07:37:39,pfsense:syslog,allow,info,192.168.1.222,8.8.156.71,53,DNS query for legitimate domain,20,normal
EVT-MALICIOUS-0031,2025-12-07T08:37:39.391870,2025-12-07 08:37:39,snort:alert,drop,critical,103.173.6.56,192.168.1.216,445,Brute force attack on RDP port,83,threat
EVT-BENIGN-0066,2025-12-07T12:37:39.391870,2025-12-07 12:37:39,wineventlog:system,allow,low,192.168.1.215,8.8.92.97,22,DNS query for legitimate domain,15,normal
EVT-BENIGN-0016,2025-12-05T10:37:39.391870,2025-12-05 10:37:39,wineventlog:system,pass,notice,192.168.1.146,8.8.76.12,53,Normal HTTP traffic to google.com,2,normal
EVT-BENIGN-0054,2025-12-07T00:37:39.391870,2025-12-07 00:37:39,syslog,accept,low,192.168.1.180,8.8.67.156,53,SSH connection from admin workstation,28,normal
EVT-BENIGN-0019,2025-12-05T13:37:39.391870,2025-12-05 13:37:39,wineventlog:system,accept,info,192.168.1.11,8.8.213.129,443,Normal HTTP traffic to google.com,0,normal
EVT-BENIGN-0018,2025-12-05T12:37:39.391870,2025-12-05 12:37:39,wineventlog:system,allow,info,192.168.1.137,8.8.101.190,443,Normal HTTP traffic to google.com,13,normal
EVT-BENIGN-0061,2025-12-07T07:37:39.391870,2025-12-07 07:37:39,pfsense:syslog,permit,info,192.168.1.181,8.8.13.128,22,DNS query for legitimate domain,6,normal
EVT-MALICIOUS-0038,2025-12-07T22:37:39.391870,2025-12-07 22:37:39,pfsense:syslog,drop,critical,125.40.85.19,192.168.1.12,3389,SQL injection attempt detected,78,threat
EVT-BENIGN-0033,2025-12-06T03:37:39.391870,2025-12-06 03:37:39,wineventlog:system,permit,notice,192.168.1.53,8.8.37.50,53,Regular system update check,0,normal
EVT-MALICIOUS-0029,2025-12-07T04:37:39.391870,2025-12-07 04:37:39,pfsense:syslog,deny,alert,174.184.97.32,192.168.1.160,8080,Port scan detected from external IP,100,threat
EVT-BENIGN-0099,2025-12-08T21:37:39.391870,2025-12-08 21:37:39,pfsense:syslog,pass,low,192.168.1.197,8.8.121.98,80,Regular system update check,14,normal
EVT-BENIGN-0086,2025-12-08T08:37:39.391870,2025-12-08 08:37:39,syslog,pass,info,192.168.1.210,8.8.126.3,443,Normal HTTP traffic to google.com,27,normal
EVT-MALICIOUS-0014,2025-12-05T22:37:39.391870,2025-12-05 22:37:39,pfsense:syslog,drop,critical,123.167.23.188,192.168.1.103,445,Malware signature matched: Trojan.Generic,95,threat
EVT-BENIGN-0047,2025-12-06T17:37:39.391870,2025-12-06 17:37:39,syslog,pass,info,192.168.1.161,8.8.18.35,443,Regular system update check,10,normal
EVT-MALICIOUS-0021,2025-12-06T12:37:39.391870,2025-12-06 12:37:39,pfsense:syslog,drop,high,159.140.87.17,192.168.1.80,3389,Brute force attack on RDP port,73,threat
EVT-BENIGN-0052,2025-12-06T22:37:39.391870,2025-12-06 22:37:39,wineventlog:system,allow,info,192.168.1.18,8.8.193.122,443,Regular system update check,26,normal
EVT-BENIGN-0090,2025-12-08T12:37:39.391870,2025-12-08 12:37:39,wineventlog:system,accept,low,192.168.1.39,8.8.211.200,443,Normal HTTP traffic to google.com,16,normal
EVT-MALICIOUS-0015,2025-12-06T00:37:39.391870,2025-12-06 00:37:39,pfsense:syslog,deny,high,143.115.241.177,192.168.1.197,1433,SQL injection attempt detected,74,threat
EVT-BENIGN-0041,2025-12-06T11:37:39.391870,2025-12-06 11:37:39,pfsense:syslog,pass,notice,192.168.1.22,8.8.136.110,53,SSH connection from admin workstation,6,normal
EVT-BENIGN-0035,2025-12-06T05:37:39.391870,2025-12-06 05:37:39,wineventlog:system,permit,low,192.168.1.138,8.8.164.76,22,Normal HTTP traffic to google.com,26,normal
EVT-BENIGN-0098,2025-12-08T20:37:39.391870,2025-12-08 20:37:39,pfsense:syslog,permit,low,192.168.1.144,8.8.103.196,80,SSH connection from admin workstation,28,normal
EVT-BENIGN-0050,2025-12-06T20:37:39.391870,2025-12-06 20:37:39,syslog,allow,info,192.168.1.172,8.8.138.81,443,Normal HTTP traffic to google.com,12,normal
EVT-BENIGN-0006,2025-12-05T00:37:39.391870,2025-12-05 00:37:39,syslog,allow,info,192.168.1.12,8.8.110.250,443,Regular system update check,0,normal
EVT-BENIGN-0062,2025-12-07T08:37:39.391870,2025-12-07 08:37:39,syslog,allow,notice,192.168.1.87,8.8.171.255,443,DNS query for legitimate domain,22,normal
EVT-MALICIOUS-0003,2025-12-05T00:37:39.391870,2025-12-05 00:37:39,pfsense:syslog,drop,alert,169.253.17.221,192.168.1.237,1433,Brute force attack on RDP port,95,threat
EVT-BENIGN-0029,2025-12-05T23:37:39.391870,2025-12-05 23:37:39,pfsense:syslog,accept,low,192.168.1.235,8.8.69.179,443,DNS query for legitimate domain,4,normal
EVT-MALICIOUS-0045,2025-12-08T12:37:39.391870,2025-12-08 12:37:39,snort:alert,block,alert,181.71.127.43,192.168.1.8,3389,Brute force attack on RDP port,86,threat
EVT-BENIGN-0096,2025-12-08T18:37:39.391870,2025-12-08 18:37:39,syslog,allow,info,192.168.1.215,8.8.211.202,443,Regular system update check,22,normal
EVT-BENIGN-0072,2025-12-07T18:37:39.391870,2025-12-07 18:37:39,pfsense:syslog,pass,low,192.168.1.54,8.8.15.26,22,Regular system update check,23,normal
EVT-BENIGN-0093,2025-12-08T15:37:39.391870,2025-12-08 15:37:39,syslog,allow,notice,192.168.1.162,8.8.129.232,80,Regular system update check,6,normal
EVT-MALICIOUS-0032,2025-12-07T10:37:39.391870,2025-12-07 10:37:39,pfsense:syslog,deny,critical,137.225.206.1,192.168.1.137,3389,Port scan detected from external IP,89,threat
EVT-BENIGN-0036,2025-12-06T06:37:39.391870,2025-12-06 06:37:39,syslog,pass,notice,192.168.1.229,8.8.162.49,22,Regular system update check,1,normal
EVT-MALICIOUS-0013,2025-12-05T20:37:39.391870,2025-12-05 20:37:39,pfsense:syslog,drop,critical,105.177.241.227,192.168.1.119,445,Malware signature matched: Trojan.Generic,86,threat
EVT-MALICIOUS-0030,2025-12-07T06:37:39.391870,2025-12-07 06:37:39,pfsense:syslog,reject,high,180.153.191.204,192.168.1.146,3389,Brute force attack on RDP port,71,threat
EVT-MALICIOUS-0000,2025-12-04T18:37:39.391870,2025-12-04 18:37:39,snort:alert,deny,critical,197.149.236.172,192.168.1.253,8080,Brute force attack on RDP port,85,threat
EVT-MALICIOUS-0018,2025-12-06T06:37:39.391870,2025-12-06 06:37:39,snort:alert,reject,high,170.232.179.4,192.168.1.126,3389,Brute force attack on RDP port,89,threat
EVT-BENIGN-0010,2025-12-05T04:37:39.391870,2025-12-05 04:37:39,wineventlog:system,pass,low,192.168.1.162,8.8.126.179,443,Normal HTTP traffic to google.com,26,normal
EVT-BENIGN-0001,2025-12-04T19:37:39.391870,2025-12-04 19:37:39,pfsense:syslog,permit,notice,192.168.1.94,8.8.67.42,22,Regular system update check,0,normal
EVT-BENIGN-0060,2025-12-07T06:37:39.391870,2025-12-07 06:37:39,syslog,permit,info,192.168.1.238,8.8.79.235,80,Normal HTTP traffic to google.com,8,normal
EVT-MALICIOUS-0017,2025-12-06T04:37:39.391870,2025-12-06 04:37:39,pfsense:syslog,reject,alert,173.237.137.229,192.168.1.249,445,Port scan detected from external IP,95,threat
EVT-MALICIOUS-0005,2025-12-05T04:37:39.391870,2025-12-05 04:37:39,pfsense:syslog,block,alert,123.13.77.115,192.168.1.40,445,Brute force attack on RDP port,71,threat
EVT-BENIGN-0078,2025-12-08T00:37:39.391870,2025-12-08 00:37:39,wineventlog:system,accept,info,192.168.1.137,8.8.215.138,53,DNS query for legitimate domain,9,normal
EVT-MALICIOUS-0042,2025-12-08T06:37:39.391870,2025-12-08 06:37:39,snort:alert,deny,high,173.189.156.77,192.168.1.165,3389,SQL injection attempt detected,96,threat
EVT-MALICIOUS-0044,2025-12-08T10:37:39.391870,2025-12-08 10:37:39,pfsense:syslog,drop,critical,116.61.39.2,192.168.1.112,445,Port scan detected from external IP,86,threat
EVT-MALICIOUS-0010,2025-12-05T14:37:39.391870,2025-12-05 14:37:39,pfsense:syslog,block,high,120.54.13.169,192.168.1.95,3389,Malware signature matched: Trojan.Generic,83,threat
EVT-BENIGN-0082,2025-12-08T04:37:39.391870,2025-12-08 04:37:39,syslog,accept,notice,192.168.1.206,8.8.154.206,80,DNS query for legitimate domain,25,normal
EVT-BENIGN-0077,2025-12-07T23:37:39.391870,2025-12-07 23:37:39,syslog,allow,info,192.168.1.76,8.8.64.118,53,SSH connection from admin workstation,23,normal
EVT-BENIGN-0055,2025-12-07T01:37:39.391870,2025-12-07 01:37:39,wineventlog:system,allow,notice,192.168.1.53,8.8.139.52,22,Regular system update check,2,normal
EVT-BENIGN-0011,2025-12-05T05:37:39.391870,2025-12-05 05:37:39,pfsense:syslog,permit,info,192.168.1.67,8.8.86.196,443,Regular system update check,9,normal
EVT-MALICIOUS-0026,2025-12-06T22:37:39.391870,2025-12-06 22:37:39,pfsense:syslog,drop,high,182.253.186.90,192.168.1.100,3389,Brute force attack on RDP port,94,threat
EVT-BENIGN-0008,2025-12-05T02:37:39.391870,2025-12-05 02:37:39,syslog,allow,notice,192.168.1.147,8.8.40.230,80,SSH connection from admin workstation,29,normal
EVT-MALICIOUS-0036,2025-12-07T18:37:39.391870,2025-12-07 18:37:39,pfsense:syslog,drop,high,136.114.166.190,192.168.1.221,3389,Port scan detected from external IP,99,threat
EVT-BENIGN-0000,2025-12-04T18:37:39.391870,2025-12-04 18:37:39,syslog,permit,low,192.168.1.176,8.8.139.215,443,DNS query for legitimate domain,10,normal
EVT-MALICIOUS-0039,2025-12-08T00:37:39.391870,2025-12-08 00:37:39,snort:alert,reject,alert,150.244.5.15,192.168.1.221,445,Brute force attack on RDP port,91,threat
EVT-MALICIOUS-0028,2025-12-07T02:37:39.391870,2025-12-07 02:37:39,snort:alert,drop,high,168.43.58.16,192.168.1.113,445,Malware signature matched: Trojan.Generic,87,threat
EVT-BENIGN-0020,2025-12-05T14:37:39.391870,2025-12-05 14:37:39,wineventlog:system,allow,info,192.168.1.141,8.8.95.221,53,Regular system update check,6,normal
EVT-MALICIOUS-0035,2025-12-07T16:37:39.391870,2025-12-07 16:37:39,pfsense:syslog,block,alert,126.17.249.37,192.168.1.176,1433,Port scan detected from external IP,91,threat
EVT-BENIGN-0076,2025-12-07T22:37:39.391870,2025-12-07 22:37:39,pfsense:syslog,allow,low,192.168.1.109,8.8.86.157,22,Normal HTTP traffic to google.com,12,normal
EVT-MALICIOUS-0041,2025-12-08T04:37:39.391870,2025-12-08 04:37:39,snort:alert,drop,critical,123.140.54.67,192.168.1.190,1433,Brute force attack on RDP port,74,threat
EVT-BENIGN-0079,2025-12-08T01:37:39.391870,2025-12-08 01:37:39,pfsense:syslog,permit,low,192.168.1.132,8.8.194.44,53,SSH connection from admin workstation,27,normal
EVT-BENIGN-0022,2025-12-05T16:37:39.391870,2025-12-05 16:37:39,syslog,allow,info,192.168.1.207,8.8.122.110,22,DNS query for legitimate domain,1,normal
EVT-MALICIOUS-0024,2025-12-06T18:37:39.391870,2025-12-06 18:37:39,snort:alert,block,alert,191.124.113.111,192.168.1.36,1433,Brute force attack on RDP port,92,threat
EVT-MALICIOUS-0007,2025-12-05T08:37:39.391870,2025-12-05 08:37:39,pfsense:syslog,block,alert,198.6.125.70,192.168.1.205,1433,SQL injection attempt detected,99,threat
EVT-BENIGN-0027,2025-12-05T21:37:39.391870,2025-12-05 21:37:39,pfsense:syslog,allow,low,192.168.1.234,8.8.72.102,443,Regular system update check,8,normal
EVT-BENIGN-0067,2025-12-07T13:37:39.391870,2025-12-07 13:37:39,wineventlog:system,pass,notice,192.168.1.57,8.8.115.140,53,DNS query for legitimate domain,26,normal
EVT-BENIGN-0074,2025-12-07T20:37:39.391870,2025-12-07 20:37:39,wineventlog:system,accept,info,192.168.1.118,8.8.53.216,22,SSH connection from admin workstation,16,normal
EVT-BENIGN-0092,2025-12-08T14:37:39.391870,2025-12-08 14:37:39,syslog,permit,info,192.168.1.28,8.8.195.217,53,SSH connection from admin workstation,20,normal
EVT-BENIGN-0094,2025-12-08T16:37:39.391870,2025-12-08 16:37:39,syslog,allow,info,192.168.1.113,8.8.11.31,80,Regular system update check,15,normal
EVT-BENIGN-0083,2025-12-08T05:37:39.391870,2025-12-08 05:37:39,syslog,permit,notice,192.168.1.83,8.8.57.31,443,Regular system update check,25,normal
EVT-MALICIOUS-0008,2025-12-05T10:37:39.391870,2025-12-05 10:37:39,pfsense:syslog,deny,critical,173.34.204.48,192.168.1.14,3389,Malware signature matched: Trojan.Generic,75,threat
EVT-MALICIOUS-0002,2025-12-04T22:37:39.391870,2025-12-04 22:37:39,pfsense:syslog,deny,alert,108.128.189.61,192.168.1.151,3389,Brute force attack on RDP port,78,threat
EVT-BENIGN-0088,2025-12-08T10:37:39.391870,2025-12-08 10:37:39,wineventlog:system,permit,notice,192.168.1.163,8.8.106.166,53,SSH connection from admin workstation,18,normal
EVT-BENIGN-0017,2025-12-05T11:37:39.391870,2025-12-05 11:37:39,wineventlog:system,permit,notice,192.168.1.102,8.8.6.23,22,SSH connection from admin workstation,29,normal
EVT-MALICIOUS-0034,2025-12-07T14:37:39.391870,2025-12-07 14:37:39,pfsense:syslog,reject,high,105.220.221.105,192.168.1.122,1433,Malware signature matched: Trojan.Generic,73,threat
EVT-BENIGN-0028,2025-12-05T22:37:39.391870,2025-12-05 22:37:39,pfsense:syslog,permit,notice,192.168.1.228,8.8.191.57,53,DNS query for legitimate domain,26,normal
EVT-BENIGN-0064,2025-12-07T10:37:39.391870,2025-12-07 10:37:39,syslog,accept,notice,192.168.1.250,8.8.113.155,443,Regular system update check,22,normal
EVT-BENIGN-0023,2025-12-05T17:37:39.391870,2025-12-05 17:37:39,wineventlog:system,accept,notice,192.168.1.38,8.8.239.93,53,Normal HTTP traffic to google.com,15,normal
EVT-BENIGN-0056,2025-12-07T02:37:39.391870,2025-12-07 02:37:39,syslog,accept,notice,192.168.1.35,8.8.237.123,443,DNS query for legitimate domain,5,normal
EVT-BENIGN-0046,2025-12-06T16:37:39.391870,2025-12-06 16:37:39,pfsense:syslog,pass,notice,192.168.1.10,8.8.21.98,53,Regular system update check,14,normal
EVT-BENIGN-0095,2025-12-08T17:37:39.391870,2025-12-08 17:37:39,wineventlog:system,accept,info,192.168.1.17,8.8.53.189,80,Normal HTTP traffic to google.com,20,normal
EVT-BENIGN-0038,2025-12-06T08:37:39.391870,2025-12-06 08:37:39,wineventlog:system,allow,low,192.168.1.113,8.8.185.33,80,Regular system update check,6,normal
EVT-BENIGN-0032,2025-12-06T02:37:39.391870,2025-12-06 02:37:39,pfsense:syslog,pass,low,192.168.1.94,8.8.70.24,53,SSH connection from admin workstation,10,normal
EVT-BENIGN-0025,2025-12-05T19:37:39.391870,2025-12-05 19:37:39,pfsense:syslog,permit,info,192.168.1.202,8.8.91.73,53,DNS query for legitimate domain,3,normal
EVT-MALICIOUS-0001,2025-12-04T20:37:39.391870,2025-12-04 20:37:39,pfsense:syslog,block,high,179.39.12.234,192.168.1.191,1433,Brute force attack on RDP port,100,threat
EVT-BENIGN-0058,2025-12-07T04:37:39.391870,2025-12-07 04:37:39,syslog,allow,low,192.168.1.144,8.8.28.226,80,DNS query for legitimate domain,28,normal
EVT-MALICIOUS-0011,2025-12-05T16:37:39.391870,2025-12-05 16:37:39,snort:alert,block,high,140.154.87.49,192.168.1.133,8080,Port scan detected from external IP,81,threat
EVT-BENIGN-0091,2025-12-08T13:37:39.391870,2025-12-08 13:37:39,wineventlog:system,pass,low,192.168.1.237,8.8.52.190,80,Normal HTTP traffic to google.com,21,normal
EVT-BENIGN-0084,2025-12-08T06:37:39.391870,2025-12-08 06:37:39,wineventlog:system,pass,info,192.168.1.136,8.8.85.173,80,Regular system update check,0,normal
EVT-BENIGN-0003,2025-12-04T21:37:39.391870,2025-12-04 21:37:39,wineventlog:system,permit,low,192.168.1.146,8.8.72.41,80,Normal HTTP traffic to google.com,9,normal
EVT-BENIGN-0037,2025-12-06T07:37:39.391870,2025-12-06 07:37:39,syslog,permit,low,192.168.1.40,8.8.118.230,53,SSH connection from admin workstation,26,normal
EVT-BENIGN-0097,2025-12-08T19:37:39.391870,2025-12-08 19:37:39,wineventlog:system,pass,info,192.168.1.158,8.8.121.209,443,DNS query for legitimate domain,19,normal
EVT-MALICIOUS-0037,2025-12-07T20:37:39.391870,2025-12-07 20:37:39,pfsense:syslog,reject,high,142.164.111.177,192.168.1.15,1433,SQL injection attempt detected,93,threat
EVT-MALICIOUS-0049,2025-12-08T20:37:39.391870,2025-12-08 20:37:39,snort:alert,deny,critical,135.218.197.88,192.168.1.196,445,SQL injection attempt detected,81,threat
EVT-MALICIOUS-0016,2025-12-06T02:37:39.391870,2025-12-06 02:37:39,snort:alert,deny,alert,178.55.47.14,192.168.1.207,3389,Brute force attack on RDP port,82,threat
EVT-BENIGN-0065,2025-12-07T11:37:39.391870,2025-12-07 11:37:39,wineventlog:system,pass,low,192.168.1.224,8.8.218.131,22,Normal HTTP traffic to google.com,16,normal
EVT-MALICIOUS-0048,2025-12-08T18:37:39.391870,2025-12-08 18:37:39,snort:alert,drop,critical,164.154.7.43,192.168.1.213,8080,Brute force attack on RDP port,84,threat
EVT-BENIGN-0057,2025-12-07T03:37:39.391870,2025-12-07 03:37:39,wineventlog:system,allow,info,192.168.1.93,8.8.60.226,443,SSH connection from admin workstation,8,normal
EVT-BENIGN-0048,2025-12-06T18:37:39.391870,2025-12-06 18:37:39,syslog,pass,notice,192.168.1.65,8.8.216.221,53,DNS query for legitimate domain,27,normal
EVT-BENIGN-0012,2025-12-05T06:37:39.391870,2025-12-05 06:37:39,syslog,permit,low,192.168.1.225,8.8.66.123,80,DNS query for legitimate domain,18,normal
EVT-BENIGN-0089,2025-12-08T11:37:39.391870,2025-12-08 11:37:39,syslog,permit,notice,192.168.1.178,8.8.58.61,443,Regular system update check,23,normal
EVT-BENIGN-0039,2025-12-06T09:37:39.391870,2025-12-06 09:37:39,wineventlog:system,permit,low,192.168.1.59,8.8.173.190,80,DNS query for legitimate domain,6,normal
EVT-BENIGN-0002,2025-12-04T20:37:39.391870,2025-12-04 20:37:39,wineventlog:system,accept,low,192.168.1.1,8.8.251.188,80,Normal HTTP traffic to google.com,22,normal
EVT-MALICIOUS-0023,2025-12-06T16:37:39.391870,2025-12-06 16:37:39,snort:alert,deny,critical,123.102.156.103,192.168.1.16,445,Port scan detected from external IP,100,threat
EVT-MALICIOUS-0033,2025-12-07T12:37:39.391870,2025-12-07 12:37:39,pfsense:syslog,deny,alert,190.97.130.59,192.168.1.149,445,Port scan detected from external IP,76,threat
EVT-BENIGN-0044,2025-12-06T14:37:39.391870,2025-12-06 14:37:39,syslog,accept,info,192.168.1.113,8.8.45.218,80,Normal HTTP traffic to google.com,19,normal
EVT-MALICIOUS-0025,2025-12-06T20:37:39.391870,2025-12-06 20:37:39,pfsense:syslog,reject,high,170.159.207.67,192.168.1.75,445,Port scan detected from external IP,80,threat
EVT-MALICIOUS-0006,2025-12-05T06:37:39.391870,2025-12-05 06:37:39,snort:alert,block,critical,101.155.197.18,192.168.1.106,3389,Port scan detected from external IP,96,threat
EVT-BENIGN-0030,2025-12-06T00:37:39.391870,2025-12-06 00:37:39,wineventlog:system,accept,notice,192.168.1.66,8.8.70.4,22,Normal HTTP traffic to google.com,21,normal
EVT-BENIGN-0031,2025-12-06T01:37:39.391870,2025-12-06 01:37:39,syslog,accept,info,192.168.1.58,8.8.84.107,80,Regular system update check,6,normal
EVT-BENIGN-0045,2025-12-06T15:37:39.391870,2025-12-06 15:37:39,pfsense:syslog,allow,low,192.168.1.155,8.8.125.72,80,Regular system update check,16,normal
EVT-BENIGN-0075,2025-12-07T21:37:39.391870,2025-12-07 21:37:39,syslog,allow,low,192.168.1.69,8.8.202.93,80,DNS query for legitimate domain,6,normal
EVT-BENIGN-0007,2025-12-05T01:37:39.391870,2025-12-05 01:37:39,pfsense:syslog,accept,info,192.168.1.229,8.8.196.240,80,DNS query for legitimate domain,30,normal
EVT-MALICIOUS-0009,2025-12-05T12:37:39.391870,2025-12-05 12:37:39,pfsense:syslog,drop,alert,199.248.25.50,192.168.1.155,3389,Brute force attack on RDP port,84,threat
EVT-BENIGN-0024,2025-12-05T18:37:39.391870,2025-12-05 18:37:39,wineventlog:system,accept,low,192.168.1.100,8.8.201.251,22,SSH connection from admin workstation,18,normal
EVT-BENIGN-0042,2025-12-06T12:37:39.391870,2025-12-06 12:37:39,syslog,allow,low,192.168.1.142,8.8.8.248,443,SSH connection from admin workstation,7,normal
EVT-BENIGN-0087,2025-12-08T09:37:39.391870,2025-12-08 09:37:39,pfsense:syslog,pass,low,192.168.1.4,8.8.106.17,80,SSH connection from admin workstation,23,normal
EVT-MALICIOUS-0022,2025-12-06T14:37:39.391870,2025-12-06 14:37:39,pfsense:syslog,reject,alert,174.202.14.252,192.168.1.72,8080,SQL injection attempt detected,97,threat
EVT-BENIGN-0004,2025-12-04T22:37:39.391870,2025-12-04 22:37:39,wineventlog:system,allow,notice,192.168.1.79,8.8.92.113,22,DNS query for legitimate domain,10,normal
EVT-BENIGN-0080,2025-12-08T02:37:39.391870,2025-12-08 02:37:39,syslog,allow,low,192.168.1.232,8.8.206.117,22,Normal HTTP traffic to google.com,15,normal
EVT-BENIGN-0021,2025-12-05T15:37:39.391870,2025-12-05 15:37:39,wineventlog:system,permit,notice,192.168.1.72,8.8.146.175,80,SSH connection from admin workstation,21,normal
EVT-MALICIOUS-0040,2025-12-08T02:37:39.391870,2025-12-08 02:37:39,snort:alert,drop,high,169.168.218.92,192.168.1.158,8080,Malware signature matched: Trojan.Generic,78,threat
EVT-MALICIOUS-0046,2025-12-08T14:37:39.391870,2025-12-08 14:37:39,snort:alert,reject,critical,107.71.177.135,192.168.1.175,8080,Malware signature matched: Trojan.Generic,73,threat
EVT-BENIGN-0009,2025-12-05T03:37:39.391870,2025-12-05 03:37:39,syslog,allow,low,192.168.1.177,8.8.31.128,443,Normal HTTP traffic to google.com,16,normal
EVT-BENIGN-0015,2025-12-05T09:37:39.391870,2025-12-05 09:37:39,wineventlog:system,accept,notice,192.168.1.188,8.8.48.27,80,Regular system update check,3,normal
EVT-BENIGN-0026,2025-12-05T20:37:39.391870,2025-12-05 20:37:39,pfsense:syslog,permit,low,192.168.1.21,8.8.96.160,443,Regular system update check,2,normal
EVT-MALICIOUS-0019,2025-12-06T08:37:39.391870,2025-12-06 08:37:39,pfsense:syslog,block,high,135.103.128.57,192.168.1.113,8080,Port scan detected from external IP,87,threat
